Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           get_longest_segment_length [308]
                0.00    0.00       1/1           alloc_delta_arrays [267]
                0.00    0.00       1/1           restore_original_device [320]
                0.00    0.00       1/1           free_and_reset_internal_structures [288]
-----------------------------------------------
                0.00    0.91       1/1           compute_delay_lookup_tables [7]
[8]     15.6    0.00    0.91       1         alloc_routing_structs [8]
                0.00    0.90       1/1           build_rr_graph [9]
                0.00    0.01       1/2           free_rr_graph [65]
                0.00    0.00       1/478         assign_locations [121]
                0.00    0.00       1/1           alloc_route_structs [272]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [258]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [275]
                0.00    0.00       1/1           init_route_structs [312]
-----------------------------------------------
                0.00    0.90       1/1           alloc_routing_structs [8]
[9]     15.5    0.00    0.90       1         build_rr_graph [9]
                0.00    0.86       1/1           alloc_and_load_rr_graph [11]
                0.00    0.02       1/1           rr_graph_externals [43]
                0.00    0.01     121/121         load_sblock_pattern_lookup [57]
                0.00    0.01       1/1           check_rr_graph [66]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [74]
                0.00    0.00       4/383841      my_malloc [84]
                0.00    0.00       3/3           alloc_and_load_pin_to_track_map [197]
                0.00    0.00       3/3           alloc_and_load_track_to_pin_lookup [198]
                0.00    0.00       2/2           alloc_and_load_actual_fc [212]
                0.00    0.00       2/437         alloc_matrix [137]
                0.00    0.00       2/430         free_matrix [139]
                0.00    0.00       1/1           alloc_and_load_seg_details [259]
